,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,summary,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,gname,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nwound,property,propextent,propextent_txt,propvalue,scite1,scite2,dbsource,INT_LOG,INT_ANY,related
170338,201612310033,2016,12,31,,0,,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Gajukhel,33.803878999999995,72.02543399999999,"12/31/2016: Assailants opened fire on Frontier Constabulary (FC) personnel in Gajukhel, Nowshera district, Khyber Pakhtunkhwa, Pakistan. At least two officers were killed in the assault. No group claimed responsibility for the attack.",0,1,0,2,Armed Assault,3,Police,25.0,Police Security Forces/Officers,Frontier Constabulary (FC),Personnel,153.0,Unknown,5,Firearms,5.0,Unknown Gun Type,2.0,0.0,0,,,,"""Two FC Balochistan personnel shot dead in Nowshera,"" Khyber News, December 31, 2016.",,START Primary Collection,-9,-9,
170339,201612310034,2016,12,31,,0,,4,Afghanistan,6,South Asia,Jawzjan,Zoqum,36.662402,65.748508,"12/31/2016: Assailants attacked a security post in Zoqum, Jawzjan, Afghanistan. This was one of four related attacks on security posts on this day. Two assailants were killed and five assailants were injured across the ensuing clashes. The Taliban claimed responsibility for the incidents.",1,0,0,9,Unknown,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Afghan National Security Force (ANSF),Checkposts,4.0,Taliban,13,Unknown,,,1.0,1.0,0,,,,"""Jawzjan clash leaves 2 rebels dead, 8 wounded,"" Pajhwok Afghan News English, January 1, 2017.",,START Primary Collection,0,0,"201612310034, 201612310035, 201612310036, 201612310037"
170340,201612310035,2016,12,31,,0,,4,Afghanistan,6,South Asia,Jawzjan,Jakdalk,36.667981,65.75108399999999,"12/31/2016: Assailants attacked a security post in Jakdalk, Jawzjan, Afghanistan. This was one of four related attacks on security posts on this day. Two assailants were killed and five assailants were injured across the ensuing clashes. The Taliban claimed responsibility for the incidents.",1,0,0,9,Unknown,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Afghan National Security Force (ANSF),Checkposts,4.0,Taliban,13,Unknown,,,1.0,1.0,0,,,,"""Jawzjan clash leaves 2 rebels dead, 8 wounded,"" Pajhwok Afghan News English, January 1, 2017.",,START Primary Collection,0,0,"201612310034, 201612310035, 201612310036, 201612310037"
170341,201612310036,2016,12,31,,0,,4,Afghanistan,6,South Asia,Jawzjan,Shirkhel,36.666222,65.754795,"12/31/2016: Assailants attacked a security post in Shirkhel, Jawzjan, Afghanistan. This was one of four related attacks on security posts on this day. Two assailants were killed and five assailants were injured across the ensuing clashes. The Taliban claimed responsibility for the incidents.",1,0,0,9,Unknown,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Afghan National Security Force (ANSF),Checkposts,4.0,Taliban,13,Unknown,,,0.0,2.0,0,,,,"""Jawzjan clash leaves 2 rebels dead, 8 wounded,"" Pajhwok Afghan News English, January 1, 2017.",,START Primary Collection,0,0,"201612310034, 201612310035, 201612310036, 201612310037"
170342,201612310037,2016,12,31,,0,,4,Afghanistan,6,South Asia,Jawzjan,Tofan,36.659695,65.752408,"12/31/2016: Assailants attacked a security post in Tofan, Jawzjan, Afghanistan. This was one of four related attacks on security posts on this day. Two assailants were killed and five assailants were injured across the ensuing clashes. The Taliban claimed responsibility for the incidents.",1,0,0,9,Unknown,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Afghan National Security Force (ANSF),Checkposts,4.0,Taliban,13,Unknown,,,0.0,1.0,0,,,,"""Jawzjan clash leaves 2 rebels dead, 8 wounded,"" Pajhwok Afghan News English, January 1, 2017.",,START Primary Collection,0,0,"201612310034, 201612310035, 201612310036, 201612310037"
170343,201612310038,2016,12,30,,0,,4,Afghanistan,6,South Asia,Jawzjan,Mangajek district,37.007020000000004,66.026738,"12/30/2016: An explosive device attached to a National Uprising Movement vehicle detonated in Mangajek, Jawzjan, Afghanistan. At least two uprising members were killed and five members were injured in the blast. The Taliban claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,17,Terrorists/Non-State Militia,94.0,Non-State Militia,National Uprising Movement (NUM),Vehicle,4.0,Taliban,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,2.0,5.0,1,3.0,Minor (likely < $1 million),-99.0,"""Afghansitan: Blast in Jowzjan Province Kills 2, Injures 5 of Anti-Taliban Uprising Group,"" Pajhwok Afghan News Online, December 31, 2016.",,START Primary Collection,0,0,
170344,201612310039,2016,12,31,2016-12-31 00:00:00,0,,4,Afghanistan,6,South Asia,Helmand,Lashkar Gah,31.583664000000002,64.36869899999999,"12/31/2016: An explosive device detonated in Lashkar Gah, Helmand, Afghanistan. One civilian was killed and six civilians were wounded in the blast. No group claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Unknown,6,Explosives/Bombs/Dynamite,8.0,Land Mine,1.0,6.0,-9,,,,"""Program Summary: Afghanistan-Pul-e Alam Zinat Ghag Radio Pashto 1430 GMT 30 December 2016,"" Zinat Ghag Radio, December 31, 2016.",,START Primary Collection,-9,-9,
170345,201612310040,2016,12,31,,0,,146,Niger,11,Sub-Saharan Africa,Diffa,Garoua,13.883032,13.177504,"12/31/2016: Assailants attacked military positions in Garoua, Diffa, Niger. At least 15 people, including three soldiers and 12 assailants, were killed and seven other people were injured in the ensuing clash. No group claimed responsibility; however, sources attributed the attack to Boko Haram.",0,1,0,9,Unknown,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Niger Army,Soldiers,146.0,Boko Haram,13,Unknown,,,15.0,7.0,0,,,,"""15 soldiers killed, 19 injured in Niger terror attack,"" Hindustan Times, February 24, 2017.","""Niger: Boko Haram attack kills two soldiers in Lake Chad region,"" Sahel Standard, January 2, 2017.",START Primary Collection,1,1,
170346,201612310042,2016,12,31,,0,,160,Philippines,5,Southeast Asia,Maguindanao,Talitay,7.027067,124.38655200000001,"12/31/2016: An explosive device detonated targeting soldiers and aid workers in Talitay, Maguindanao, Philippines. No casualties were reported in the blast. No group claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,12,NGO,,,Unknown,Convoy of Relief Workers,160.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,-9,,,,"""AFP braces for more BIFF attacks in ARMM,"" Manila Times, January 4, 2017.","""Asia: US Army ASD Philippine Terrorist Media Weekly Wrap-up 25 - 31 December 2016,"" Summary, January 4, 2017.",START Primary Collection,-9,-9,
170347,201612310043,2016,12,31,,1,,229,Democratic Republic of the Congo,11,Sub-Saharan Africa,Bas-Uele,Nakolongbo,4.308611,25.091389000000003,"12/31/2016: Assailants attacked a village and abducted 33 civilians in Nakolongbo, Bas-Uele, Democratic Republic of the Congo. The hostages were rescued by security forces on January 8, 2017. No group claimed responsibility for the incident; however, sources attributed the attack to the Lord's Resistance Army (LRA).",0,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Nakolongbo Village,Village,229.0,Lord's Resistance Army (LRA),13,Unknown,,,0.0,,0,,,,"""DRC Armed Forces Dislodge Ugandan LRA Rebels From Village in Bas-Uele Province,"" Radio Okapi Online, January 11, 2017.",,START Primary Collection,1,1,
170348,201612310044,2016,12,31,,0,,130,Mexico,1,North America,Chihuahua,Guachochi,26.819644,-107.069898,"12/31/2016: Assailants opened fire on the house of Gabriel Valencia Juarez in Chihuahua, Mexico. Juarez, a journalist, was not harmed in the attack. No group claimed responsibility for the incident.",0,0,0,1,Assassination,10,Journalists & Media,53.0,Newspaper Journalist/Staff/Facility,Norawa,Residence of Journalist: Gabriel Valencia Juarez,130.0,Unknown,5,Firearms,3.0,Handgun,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,"""Gunmen shoot at home of Mexican indigenous rights reporter,"" Big News Network, January 10, 2017.","""? Gunmen shoot at home of Mexican indigenous rights reporter,"" Human Rights Network For Journalists - Uganda, January 10, 2017.",START Primary Collection,-9,-9,
170349,201701270001,2016,12,30,,0,,195,Sudan,11,Sub-Saharan Africa,Central Darfur,Nertiti,12.961400999999999,24.044116,"12/30/2016: Assailants armed with firearms attacked Nertiti, Central Darfur, Sudan. At least three people, including a soldier, were killed and 47 others were wounded in ensuing clashes. No group claimed responsibility; however, sources suspected that the attack was carried out by the Sudan Liberation Movement, which denied involvement.",0,0,0,2,Armed Assault,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Nierteti Town,Town,195.0,Sudan Liberation Movement,5,Firearms,5.0,Unknown Gun Type,0.0,0.0,0,,,,"""Rebels To Blame For Nierteti Killing: Central Darfur Governor,"" Radio Dabanga Online, January 2, 2017.","""Security deteriorates in West Darfur alongside attacks by Sudanese forces and local militias,"" African Centre for Justice and Peace Studies, January 13, 2017.",START Primary Collection,0,0,
