,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,summary,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,gname,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,nwound,property,propextent,propextent_txt,propvalue,scite1,scite2,dbsource,INT_LOG,INT_ANY,related
170291,201612300003,2016,12,30,,0,,160,Philippines,5,Southeast Asia,Basilan,Lamitan,6.6608,122.138893,"12/30/2016: An explosive device detonated near the City Hall in Lamitan, Basilan, Philippines. There were no reported casualties in the blast. No group claimed responsibility; however, sources suspected that the attack was carried out by the Abu Sayyaf Group (ASG).",0,1,0,3,Bombing/Explosion,2,Government (General),21.0,Government Building/Facility/Office,Government of Lamitan,City Hall,160.0,Abu Sayyaf Group (ASG),6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,0,,,,"""Philippines: Authorities suspect Abu Sayyaf in Lamitan City IED blast,"" Philstar.com, December 31, 2016.",,START Primary Collection,0,0,
170292,201612300004,2016,12,30,2016-12-30 00:00:00,0,,4,Afghanistan,6,South Asia,Ghor,Dara Morghab,34.973161,65.618114,"12/30/2016: Assailants set up checkpoints and searched vehicles in Dara Morghab, Ghor, Afghanistan. No casualties were reported in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Khorasan Chapter of the Islamic State.",0,0,0,9,Unknown,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Khorasan Chapter of the Islamic State,13,Unknown,,,0.0,0.0,0,,,,"""Islamic State said recruiting in western Afghan province,"" Ariana TV, December 30, 2016.",,START Primary Collection,0,1,
170293,201612300005,2016,12,30,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Qalandiyah,31.861596999999996,35.207914,"12/30/2016: An assailant attempted to stab police officers at a checkpoint in Qalandiyah, West Bank. The assailant was wounded when police officers opened fire. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist.",0,0,0,2,Armed Assault,3,Police,24.0,Police Checkpoint,Israel Police,Checkpoint,97.0,Palestinian Extremists,9,Melee,23.0,Knife or Other Sharp Object,0.0,1.0,0,,,,"""Stabbing attack at Qalandiya checkpoint foiled,,"" Ynet News, December 31, 2016.","""Israeli guards shoot knife-wielding Palestinian woman,"" The Nation Pakistan, December 30, 2016.",START Primary Collection,0,0,
170294,201612300006,2016,12,30,,0,,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Gidarwaan,33.532819,71.0597,"12/30/2016: Two explosive devices were discovered and defused in Gidarwaan, Hangu district, Khyber Pakhtunkhwa, Pakistan. No group claimed responsibility for the attack.",0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Unknown,153.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,0.0,0.0,0,,,,"""Explosive material defused at Hangu,"" Daily The Pak Banker (Plus Media Solutions Private Limited Publication), December 30, 2016.","""4kg bomb defused in Hangu,"" The Nation Pakistan, December 30, 2016.",START Primary Collection,-9,-9,
170295,201612300007,2016,12,30,,0,,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Miryan,31.831227000000002,70.90162,"12/30/2016: Assailants fired rockets and threw grenades at Chashma Sugar Mills Limited buildings in Miryan, Khyber Pakhtunkhwa, Pakistan. There were no reported casualties and an additional explosive device was defused at the scene following the attack. No group claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,1,Business,5.0,Industrial/Textiles/Factory,Chashma Sugar Mills Limited,Sugar Mill,153.0,Unknown,6,Explosives/Bombs/Dynamite,7.0,Grenade,0.0,0.0,0,,,,"""Rockets fired at sugar mills,"" The News International (Asianet-Pakistan), January 1, 2017.","""Pakistan: Sugar mills attacked in DI Khan,"" Daily Times Online, December 31, 2016.",START Primary Collection,-9,-9,
170296,201612300008,2016,12,30,,0,,160,Philippines,5,Southeast Asia,Davao Oriental,Caraga,7.317214,126.546543,"12/30/2016: Assailants opened fire on Cuper Banugan at his residence in Poblacion neighborhood, Caraga, Davao Oriental, Philippines. At least two people, including Banugan, a Mandaya tribal chieftain, were killed in the assault. The New People's Army (NPA) claimed responsibility for the attack.",0,1,0,1,Assassination,14,Private Citizens & Property,77.0,Laborer (General)/Occupation Identified,Not Applicable,Residence of Mandaya Tribal Chieftan: Cuper Banugan,160.0,New People's Army (NPA),5,Firearms,5.0,Unknown Gun Type,2.0,0.0,0,,,,"""News Briefs: Mandaya chieftain, 2 others killed in Davao Oriental attack,"" Philippine Daily Inquirer, January 2, 2017.","""Asia: US Army ASD Philippine Terrorist Media Weekly Wrap-up 1-7 January 2017,"" Summary, January 10, 2017.",START Primary Collection,0,0,
170297,201612300009,2016,12,30,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.590415,-5.94042,"12/30/2016: An explosive device was discovered and defused in Belfast, Northern Ireland, United Kingdom. No group claimed responsibility for the incident.",0,0,0,3,Bombing/Explosion,20,Unknown,,,Unknown,Unknown,233.0,Unknown,6,Explosives/Bombs/Dynamite,17.0,Other Explosive Type,0.0,0.0,0,,,,"""Blythe Street: Viable device found in south Belfast,"" BBC, December 30, 2016.","""Explosive device find in heart of Sandy Row,"" News Letter, January 1, 2017.",START Primary Collection,-9,1,
170298,201612300010,2016,12,30,,0,,160,Philippines,5,Southeast Asia,Maguindanao,Salibo,6.937129,124.42951200000002,"12/30/2016: Assailants armed with projectiles and firearms attacked Armed Forces of the Philippines (AFP) units in Salibo, Maguindanao, Philippines. At least seven assailants were killed and five others were injured in the ensuing clash. The Bangsamoro Islamic Freedom Movement (BIFM) claimed responsibility and stated that the incident was carried out in response to the recent death of a BIFM member.",0,1,0,2,Armed Assault,4,Military,29.0,Military Unit/Patrol/Convoy,Armed Forces of the Philippines (AFP),Unit,160.0,Bangsamoro Islamic Freedom Movement (BIFM),6,Explosives/Bombs/Dynamite,11.0,"Projectile (rockets, mortars, RPGs, etc.)",7.0,5.0,0,,,,"""AFP braces for more BIFF attacks in ARMM,"" Manila Times, January 4, 2017.","""Moro rebels attack 3 Army detachments in Maguindanao,"" Philippine Daily Inquirer, December 31, 2016.",START Primary Collection,0,0,
170299,201612300013,2016,12,30,,0,,182,Somalia,11,Sub-Saharan Africa,Bay,Baidoa,3.1166669999999996,43.65,"12/30/2016: An explosive device detonated targeting Abdullah Ali Watin's vehicle near Baidoa, Bay, Somalia. Watin, the Baidoa district commissioner, was not harmed; however, three guards were injured in the blast. Al-Shabaab claimed responsibility for the incident.",0,0,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Government of Baidoa,Vehicle of District Commissioner: Abdullah Ali Watin,182.0,Al-Shabaab,6,Explosives/Bombs/Dynamite,12.0,Remote Trigger,0.0,3.0,1,3.0,Minor (likely < $1 million),-99.0,"""Somalia: District commissioner survives bomb blast near Baidoa,"" Radio Garowe, December 31, 2016.","""Africa Command OSINT Daily 30 December - 1 January 2017,"" Summary, December 30, 2016.",START Primary Collection,0,0,
170300,201612300014,2016,12,30,,0,,4,Afghanistan,6,South Asia,Takhar,Ishkamish district,36.388226,69.330012,"12/30/2016: A roadside bomb detonated targeting a police vehicle in Ishkamish, Takhar, Afghanistan. A police officer was killed and another was injured in the blast. No group claimed responsibility for the incident.",0,1,0,3,Bombing/Explosion,3,Police,23.0,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle,4.0,Unknown,6,Explosives/Bombs/Dynamite,16.0,Unknown Explosive Type,1.0,1.0,1,3.0,Minor (likely < $1 million),-99.0,"""Xinhua: 57 Militants Killed In Military Operations: Afghan Gov't,"" Xinhua, December 31, 2016.","""Highlights: Pakistan Pashto Press 1 January December 2017,"" Summary, January 1, 2017.",START Primary Collection,-9,-9,
